p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.2,0.0,4.35,1.564,9.85,2.256,0.052,0.058,0.052,0.037
0.2,0.1,4.09,1.457,9.68,2.433,0.06,0.058,0.058,0.039
0.2,0.1,3.7,1.446,9.33,2.392,0.048,0.051,0.043,0.041
0.2,0.1,4.07,1.538,9.36,2.105,0.053,0.058,0.05,0.042
0.2,0.1,4.16,1.481,9.63,2.656,0.053,0.083,0.051,0.057
0.2,0.1,3.9,1.48,9.98,2.4,0.041,0.076,0.032,0.057
0.2,0.1,4.07,1.639,9.8,2.498,0.048,0.05,0.04,0.039
0.2,0.1,3.93,1.614,9.99,2.536,0.05,0.069,0.047,0.045
0.2,0.1,4.0,1.625,9.37,2.335,0.036,0.045,0.03,0.035
0.2,0.1,3.95,1.396,9.68,2.465,0.033,0.074,0.026,0.055
0.2,0.1,3.86,1.594,9.55,2.41,0.059,0.067,0.058,0.043
0.2,0.2,3.94,1.441,9.37,2.407,0.049,0.039,0.042,0.031
0.2,0.2,3.91,1.436,9.55,2.188,0.041,0.071,0.032,0.053
0.2,0.2,4.01,1.609,9.56,2.142,0.041,0.046,0.034,0.037
0.2,0.2,3.87,1.419,9.41,2.446,0.06,0.056,0.05,0.045
0.2,0.2,3.71,1.314,9.47,2.184,0.04,0.03,0.037,0.024
0.2,0.2,3.7,1.546,8.75,2.41,0.042,0.039,0.038,0.03
0.2,0.2,3.84,1.426,9.11,2.498,0.063,0.065,0.052,0.048
0.2,0.2,4.12,1.416,9.75,2.264,0.057,0.045,0.048,0.033
0.2,0.2,4.08,1.604,9.27,2.437,0.041,0.036,0.035,0.026
0.2,0.2,4.06,1.737,9.45,2.479,0.05,0.063,0.041,0.048
0.2,0.3,3.82,1.403,8.8,2.474,0.053,0.039,0.041,0.029
0.2,0.3,3.78,1.566,8.33,2.311,0.058,0.044,0.046,0.033
0.2,0.3,3.76,1.556,9.16,2.239,0.035,0.047,0.028,0.033
0.2,0.3,3.96,1.428,9.04,2.634,0.051,0.065,0.042,0.05
0.2,0.3,3.79,1.458,8.78,2.339,0.047,0.038,0.039,0.027
0.2,0.3,4.35,1.438,9.47,2.455,0.079,0.075,0.073,0.055
0.2,0.3,3.89,1.483,9.02,2.341,0.049,0.037,0.041,0.027
0.2,0.3,3.98,1.53,9.19,2.382,0.039,0.041,0.032,0.03
0.2,0.3,3.73,1.434,9.05,2.499,0.041,0.031,0.031,0.022
0.2,0.3,3.92,1.598,9.23,2.705,0.041,0.038,0.035,0.025
0.2,0.4,4.05,1.571,8.52,2.456,0.053,0.043,0.04,0.034
0.2,0.4,3.63,1.454,8.41,2.623,0.043,0.038,0.03,0.029
0.2,0.4,3.78,1.507,7.8,2.691,0.073,0.062,0.052,0.048
0.2,0.4,3.75,1.545,8.94,2.19,0.052,0.056,0.042,0.043
0.2,0.4,3.79,1.381,8.57,2.736,0.071,0.059,0.057,0.047
0.2,0.4,3.79,1.551,8.74,2.536,0.057,0.06,0.04,0.046
0.2,0.4,3.49,1.466,8.12,2.264,0.037,0.034,0.027,0.024
0.2,0.4,4.0,1.619,8.92,2.477,0.042,0.045,0.035,0.034
0.2,0.4,3.52,1.571,9.4,2.581,0.027,0.042,0.022,0.029
0.2,0.4,3.72,1.575,9.0,2.581,0.053,0.043,0.044,0.031
0.2,0.5,3.44,1.728,7.59,2.761,0.051,0.029,0.038,0.02
0.2,0.5,3.69,1.488,7.93,2.635,0.05,0.042,0.042,0.035
0.2,0.5,3.5,1.539,7.73,2.63,0.065,0.031,0.054,0.022
0.2,0.5,4.05,1.381,8.95,2.681,0.061,0.071,0.046,0.052
0.2,0.5,3.77,1.434,8.18,2.467,0.086,0.084,0.071,0.065
0.2,0.5,3.67,1.364,8.4,2.28,0.044,0.022,0.037,0.018
0.2,0.5,3.8,1.643,7.54,2.809,0.081,0.047,0.065,0.036
0.2,0.5,3.84,1.521,8.33,2.616,0.055,0.071,0.038,0.055
0.2,0.5,3.57,1.512,7.62,2.513,0.055,0.032,0.04,0.025
0.2,0.5,4.02,1.385,8.69,2.509,0.079,0.051,0.073,0.032
0.2,0.6,3.83,1.668,7.37,2.583,0.062,0.034,0.044,0.028
0.2,0.6,3.82,1.459,8.87,2.745,0.049,0.035,0.041,0.027
0.2,0.6,3.78,1.712,8.41,2.458,0.035,0.028,0.029,0.021
0.2,0.6,3.63,1.61,7.71,2.669,0.048,0.024,0.035,0.018
0.2,0.6,3.81,1.56,8.18,2.496,0.068,0.061,0.056,0.049
0.2,0.6,4.17,1.721,8.9,2.435,0.063,0.04,0.05,0.032
0.2,0.6,3.86,1.371,7.76,2.573,0.09,0.035,0.08,0.026
0.2,0.6,3.81,1.573,8.04,2.209,0.039,0.038,0.029,0.026
0.2,0.6,3.75,1.337,7.64,2.22,0.062,0.041,0.049,0.033
0.2,0.6,3.71,1.751,7.5,2.46,0.066,0.062,0.054,0.048
0.2,0.7,3.42,1.557,6.74,2.622,0.074,0.051,0.053,0.037
0.2,0.7,3.46,1.396,6.82,2.609,0.064,0.03,0.046,0.023
0.2,0.7,3.44,1.299,7.18,2.643,0.049,0.031,0.037,0.024
0.2,0.7,3.58,1.505,6.67,2.371,0.086,0.049,0.06,0.039
0.2,0.7,3.79,1.395,7.81,2.038,0.05,0.023,0.038,0.017
0.2,0.7,3.75,1.59,7.6,2.615,0.069,0.045,0.053,0.032
0.2,0.7,3.95,1.584,7.36,2.571,0.059,0.057,0.039,0.041
