p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.2,0.0,3.18,0.712,6.31,2.062,0.065,0.061,0.069,0.045
0.2,0.0,3.33,0.601,6.54,2.056,0.057,0.08,0.06,0.061
0.2,0.0,3.26,0.626,6.2,1.965,0.053,0.069,0.057,0.051
0.2,0.0,3.3,0.608,6.35,1.977,0.061,0.068,0.064,0.051
0.2,0.0,3.43,0.621,6.41,1.95,0.065,0.074,0.07,0.055
0.2,0.0,3.4,0.548,6.16,1.689,0.069,0.074,0.074,0.055
0.2,0.0,3.37,0.594,6.63,2.003,0.063,0.069,0.067,0.05
0.2,0.0,3.36,0.671,6.73,1.891,0.055,0.081,0.061,0.061
0.2,0.0,3.35,0.622,6.64,2.003,0.062,0.073,0.065,0.053
0.2,0.1,3.36,0.625,6.15,1.785,0.056,0.058,0.064,0.041
0.2,0.1,3.27,0.563,6.53,2.09,0.053,0.061,0.058,0.047
0.2,0.1,3.28,0.601,6.68,1.979,0.054,0.069,0.059,0.05
0.2,0.1,3.36,0.656,6.09,1.934,0.053,0.065,0.064,0.047
0.2,0.1,3.16,0.689,6.18,1.931,0.048,0.055,0.052,0.04
0.2,0.1,3.3,0.671,6.32,1.989,0.064,0.072,0.07,0.055
0.2,0.1,3.31,0.611,6.16,1.81,0.064,0.062,0.071,0.046
0.2,0.1,3.24,0.695,6.3,1.962,0.056,0.065,0.061,0.05
0.2,0.1,3.33,0.584,6.23,2.024,0.058,0.066,0.059,0.048
0.2,0.1,3.22,0.61,6.51,1.752,0.063,0.058,0.064,0.046
0.2,0.2,3.26,0.61,6.26,1.885,0.064,0.054,0.061,0.046
0.2,0.2,3.2,0.775,6.3,1.997,0.049,0.045,0.057,0.031
0.2,0.2,3.35,0.622,6.43,1.899,0.056,0.079,0.051,0.061
0.2,0.2,3.34,0.587,6.14,1.892,0.049,0.07,0.049,0.053
0.2,0.2,3.37,0.627,6.28,1.662,0.05,0.073,0.052,0.057
0.2,0.2,3.48,0.608,6.49,2.012,0.061,0.065,0.062,0.054
0.2,0.2,3.31,0.611,6.21,1.867,0.06,0.08,0.066,0.062
0.2,0.2,3.31,0.674,6.21,1.846,0.054,0.067,0.047,0.058
0.2,0.2,3.35,0.606,6.26,2.101,0.054,0.077,0.057,0.06
0.2,0.2,3.25,0.572,6.33,1.86,0.058,0.07,0.055,0.054
0.2,0.3,3.1,0.671,5.99,1.775,0.039,0.056,0.039,0.045
0.2,0.3,3.26,0.73,6.21,1.904,0.047,0.069,0.05,0.056
0.2,0.3,3.12,0.668,5.56,1.867,0.047,0.052,0.041,0.04
0.2,0.3,3.13,0.73,6.12,1.807,0.044,0.065,0.041,0.051
0.2,0.3,3.15,0.726,5.96,1.691,0.042,0.06,0.041,0.047
0.2,0.3,3.31,0.643,5.96,1.811,0.043,0.055,0.04,0.046
0.2,0.3,3.31,0.595,5.98,1.697,0.038,0.056,0.039,0.043
0.2,0.3,3.26,0.61,5.88,1.768,0.06,0.07,0.052,0.056
0.2,0.3,3.1,0.656,5.81,1.804,0.04,0.047,0.04,0.036
0.2,0.3,3.28,0.567,5.75,1.627,0.044,0.062,0.039,0.052
0.2,0.4,3.16,0.628,5.69,1.993,0.05,0.049,0.043,0.039
0.2,0.4,3.11,0.747,5.74,1.792,0.035,0.034,0.044,0.028
0.2,0.4,3.08,0.688,5.72,1.945,0.048,0.066,0.04,0.05
0.2,0.4,3.21,0.711,5.95,1.962,0.062,0.073,0.051,0.056
0.2,0.4,3.03,0.78,5.94,1.848,0.034,0.05,0.033,0.037
0.2,0.4,3.18,0.74,5.83,2.069,0.054,0.07,0.044,0.054
0.2,0.4,3.16,0.703,5.73,1.87,0.047,0.045,0.039,0.037
0.2,0.4,3.18,0.684,5.55,1.962,0.052,0.057,0.046,0.044
0.2,0.4,3.04,0.734,5.65,1.936,0.043,0.035,0.039,0.028
0.2,0.4,3.12,0.637,5.58,1.856,0.058,0.074,0.046,0.057
0.2,0.5,3.21,0.697,5.96,1.87,0.069,0.074,0.061,0.051
0.2,0.5,2.81,0.731,5.02,1.811,0.039,0.028,0.031,0.02
0.2,0.5,3.21,0.588,5.44,1.873,0.059,0.054,0.044,0.04
0.2,0.5,3.37,0.541,6.02,1.738,0.061,0.08,0.05,0.062
0.2,0.5,3.22,0.672,5.5,1.841,0.061,0.061,0.047,0.048
0.2,0.5,3.2,0.693,5.29,1.564,0.054,0.05,0.036,0.045
0.2,0.5,3.26,0.559,6.31,2.018,0.05,0.066,0.05,0.05
