dist_metric,iter_number,sources accuracy
3.7643175349075135,5,"[0.40152329429719524, 0.3386081585550578, 0.38297113367608443, 0.32493395295504185, 0.3627400394371251]"
5.3636812456785083,8,"[0.4450848080684861, 0.41680595214557015, 0.42565220202720033, 0.5066830886635869, 0.4917666545605188]"
4.1955904217868616,6,"[0.4661090125690234, 0.44814597699865316, 0.4145081692328176, 0.3893441022034833, 0.41355086926148577]"
4.2088798420539772,5,"[0.4888986466068694, 0.5120529659700566, 0.47161537122631575, 0.37601668837688457, 0.45497830241757303]"
4.25912522458112,9,"[0.4111018500089855, 0.3430236538852712, 0.32708666940474945, 0.3576500006835669, 0.3697053162616041]"
4.5268698541996066,5,"[0.4707456253838478, 0.4643989126313985, 0.4671227224800223, 0.511340257392052, 0.4530992107075219]"
5.1184481030077187,5,"[0.4606730076954245, 0.45476712168716127, 0.3670769653834038, 0.4760263725735924, 0.3750632201413949]"
5.9031757289802229,8,"[0.5046830777668105, 0.5144394393741758, 0.46669944469775576, 0.5025514227902901, 0.45286980300190677]"
4.3426455001751698,12,"[0.452030514932487, 0.39018248335324435, 0.3423896059796977, 0.46534232763976224, 0.39249373129107007]"
4.0626666105804308,5,"[0.4302131517236645, 0.547391114686807, 0.29422898313294427, 0.558455928739848, 0.4104118093567198]"
4.9728946915793921,5,"[0.46731493194342466, 0.5600037789130917, 0.5028782745743623, 0.48989170777198815, 0.48729300182740237]"
3.4275059585471608,5,"[0.6093324330454312, 0.31282015075980424, 0.40280642832538965, 0.382715965674831, 0.5350020966672219]"
4.0946144930238839,6,"[0.5984998133496833, 0.4373726205634196, 0.4885213106522894, 0.4431158773557335, 0.47467383629345944]"
4.4637852348644493,6,"[0.530236121606291, 0.4563389884162405, 0.4696664995055761, 0.47515435730485744, 0.2626031459428027]"
4.0338148797802855,5,"[0.30726870410003504, 0.39426327017719887, 0.32784787184204994, 0.3280574938608641, 0.35676534241893715]"
4.9298830113436836,5,"[0.3657296308846485, 0.34277096289197795, 0.5129253732994224, 0.4385676323356996, 0.3372770453794952]"
4.306947105344114,13,"[0.3978859220286148, 0.4426728991415035, 0.49946714588419183, 0.41853593072250456, 0.46912313681317225]"
2.9066076335892617,5,"[0.3730145452888418, 0.3413689940761375, 0.3437650646016525, 0.39460622473772783, 0.35410349957122167]"
4.8689329878145173,13,"[0.5695000144144408, 0.39245633017153897, 0.38351113078666005, 0.5026452931342282, 0.522014682598371]"
3.3019859613670577,10,"[0.33721958857831236, 0.4021626944129649, 0.4108185887467405, 0.4407248144820946, 0.31070146262103954]"
3.6473652415897373,8,"[0.3651118773378196, 0.41300742913238936, 0.3718375256879577, 0.4419425302071251, 0.3719738699726876]"
3.8808005088328947,6,"[0.35143638876593136, 0.37433278581918544, 0.3470195876408567, 0.3744258197147266, 0.3555911229753181]"
3.1582496274595768,4,"[0.32998798707201493, 0.33153588781643756, 0.45007735396537424, 0.38652043699588184, 0.32695108470979534]"
2.9445730889442259,6,"[0.29432074316367746, 0.2968436297463701, 0.429240434100024, 0.3276463425402549, 0.35753543427351897]"
4.5889980222839402,5,"[0.45341899222189, 0.5300111935682894, 0.5111256738541654, 0.4332751653934671, 0.47547560099569264]"
5.197873650997666,5,"[0.48570859256275833, 0.416399851131139, 0.40597863819531854, 0.5199495838690823, 0.43087051037030805]"
2.4915979784173157,4,"[0.29400442998451387, 0.3645214525620303, 0.3543097606798574, 0.3257590708445438, 0.28417621600555865]"
2.7794090279494372,6,"[0.36228297901773476, 0.4644468602549763, 0.3729871646071869, 0.4035033662204005, 0.42584998311183103]"
2.907388620777275,5,"[0.39505181355687086, 0.37691328633897275, 0.3451912128770163, 0.3717496755830138, 0.3420025734762668]"
3.7188328540835167,6,"[0.34752711462551067, 0.38753549782331514, 0.41873862737061185, 0.4125448695498868, 0.2936822712132573]"
3.0843118206588529,5,"[0.3333312448736829, 0.37369023088592224, 0.3645453644524472, 0.3535652284684274, 0.38449249120359674]"
3.4074462344640173,6,"[0.3219630343631099, 0.3140893740700387, 0.3058983401595928, 0.3600137105995754, 0.35772863367793134]"
3.7813663690443491,6,"[0.4433198223750632, 0.3608271038542603, 0.3558469046839295, 0.3540096296022756, 0.4541546185089965]"
3.7036334978353742,5,"[0.39099911765027173, 0.28768171233175427, 0.2930658775457421, 0.4388438534446571, 0.3258856094652394]"
2.3159603826194033,6,"[0.28940946175176824, 0.3476777702494159, 0.4393592928434651, 0.4136357379403428, 0.28444107709212335]"
3.4072180870039714,7,"[0.4347449178696332, 0.29758415031605, 0.40075036809458237, 0.44135792416690983, 0.3879910072079588]"
4.0079772519642933,4,"[0.3309948154530865, 0.35261882056332344, 0.38645345331120884, 0.4295041406408115, 0.39205995584678305]"
3.4269648043877861,5,"[0.4348544996923403, 0.41104869022767604, 0.42113203087819623, 0.3071859714528153, 0.29625184199210003]"
3.9191294119483016,6,"[0.36279813806781647, 0.3529139367606065, 0.37891837033084197, 0.35821564131759315, 0.44788449467987956]"
2.9367266900758358,5,"[0.34908628797267915, 0.3013548843816222, 0.39479272336060245, 0.3384384669015671, 0.4647107274259711]"
5.0232840368986054,9,"[0.4835251831650227, 0.3866881105720782, 0.5064277037070636, 0.46879880964369763, 0.3824798963887724]"
3.459314965584074,5,"[0.44561504197174095, 0.3760184179318959, 0.3185355392910766, 0.436920991695307, 0.4239291199507655]"
2.499979618827028,7,"[0.3145215845100044, 0.33503813289663303, 0.29182134918719466, 0.361995207147867, 0.3008242463347121]"
3.986215513146385,6,"[0.34020418106800643, 0.4120317835851335, 0.3947194828400934, 0.3919165522241269, 0.356795833631681]"
3.793774100900992,6,"[0.4459822446940235, 0.3305688646388138, 0.3822529883688537, 0.3884748841082096, 0.33230438711518445]"
2.6624109499849617,5,"[0.34148261943053426, 0.3425439892175465, 0.4085752233379195, 0.3729097313541524, 0.32925467849830564]"
3.0390549497774746,5,"[0.34406330361416954, 0.3405531380025633, 0.3648864314687062, 0.32100012424476826, 0.34937431592431073]"
2.6403074583572534,9,"[0.2810512871243332, 0.43806780893588054, 0.2728340251968001, 0.38999747548486396, 0.3091840078955692]"
5.132559967478973,7,"[0.461287276574925, 0.3897342585673795, 0.42304772581686495, 0.37500496252427684, 0.4546002446210373]"
3.059209517674601,5,"[0.31431695033019086, 0.31336109047578686, 0.4152687340361219, 0.3465510266997448, 0.3062180379730974]"
3.4295435068548339,5,"[0.3273389937332608, 0.2893061227916417, 0.41958199504163185, 0.3272453811748438, 0.3452884514097202]"
